"","Weather Forecast for Main Cities","","","Date :","2-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","70","Mainly fair"
"Batticaloa","30","26","90","75","Mainly fair"
"Colombo","32","25","90","65","Mainly fair"
"Galle","29","24","95","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","23","95","80","A few showers"
"Kandy","31","22","90","70","Mainly fair"
"Nuwara-Eliya","20","13","90","75","Mainly fair"
"Ratnapura","34","23","90","70","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","30","26","90","75","A few showers"
"Mannar","31","25","95","75","A few showers"
