"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","33","26","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","34","27","75","60","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","32","26","80","70","විටින් විට වැසි"
"ගාල්ල","29","25","90","80","විටින් විට වැසි"
"යාපනය","32","28","80","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","28","24","90","70","විටින් විට වැසි"
"නුවරඑළිය","18","15","95","85","විටින් විට වැසි"
"රත්නපුරය","31","24","95","80","විටින් විට වැසි"
"ත්‍රිකුණාමලය","34","27","80","50","ප්‍රධාන වශයයන් වැසි රහිත"
