"","","","","","","","Page 2","","","","","","","","",""
"","","Thambalagamuwa","","","3","16","","","","","3","","","","",""
"","","","High Wind","2020.05.01","","","","","","","","","","","",""
"","","","","","5","19","","","","","5","","","","",""
"","ත්‍රීකුණාමලය","Kinniya","","","","","","","","","","","","","",""
"","8
jp.kiy","","Lightning","2020.05.01","1","7","1","","","","1","","","","",""
"නැපගනහිර පලාත","","","","","","","","","","","","","","","",""
"fpof;F","Trincomalee","","","","","","","","","","","","","","",""
"","","Morawewa","","2020.05.05","1","4","","","","","1","","","","",""
"Eastern","","","High Wind","","","","","","","","","","","","",""
"","","Kanthale","","2020.05.05","5","16","","","","","5","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","15","62","1","0","0","0","15","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","15","62","1","0","0","0","15","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","227","811","3","2","0","19","206","2","0","2","15","60"
