"","Weather Forecast for Main Cities","","","","5-Jul-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","60","Mainly fair"
"Batticaloa","33","27","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","29","26","90","75","Showers at times"
"Galle","29","24","95","80","Showers at times"
"Jaffna","31","27","90","75","A few showers"
"Kandy","30","23","95","65","Several spells of showers"
"Nuwara-Eliya","20","14","95","65","Several spells of showers"
"Ratnapura","30","24","95","65","Showers at times"
"Trincomalee","36","27","90","50","Mainly fair"
"Mannar","31","28","90","75","A few showers"
