"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","63","266","0","0","0","1","62","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","742","3303","1","2","0","3","108","1","0","0","0","0"
"","","","Rajanganaya","","232","766","","","","","","","","","",""
"","","","Nochchiyagama","","409","1422","","","","","","","","","",""
"","","අනුරාධ්‍පුර","","","","","","","","","","","","","",""
"උතුරුමැද","","","Mahavilachchiya","","129","426","","","","","","","","","",""
"","18","m.Guk;","","Flood","2021.11.07/08","","","","","","","","","","",""
"පලාත","","","","","","","","","","","","","","","",""
"","","Anuradhapura","Thabuththegama","","22","80","","","","","","","","","",""
"tlkj;jpa","","","","","","","","","","","","","","","",""
"","","","Madyama","","","","","","","","","","","","",""
"khfhzk;","","","","","314","1123","","","","","","","","","",""
"","","","Nuwaragampalatha","","","","","","","","","","","","",""
"North Central","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1106","3817","0","0","0","0","0","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1106","3817","0","0","0","0","0","0","0","0","0","0"
"","","","Mundalama","","9449","27619","3","","","11","58","29","","","",""
"","","","Karuwalagaswewa","","614","1836","","","","1","39","3","","","",""
"","","","Wennappuwa","","2021.11.08
757","3178","","","","","6","5","","","",""
"","","","Wanathawilluwa","","2079","7509","1","","","21","106","10","","","",""
"","","","Puttalama","","11261","43926","","","","13","26","16","3","","",""
"","","","Mahakumbukkadawal","","","","","","","","","","","","",""
"","","","","","529","1988","2","1","","","53","11","4","","",""
"","","","a","","","","","","","","","","","","",""
"","","","Dankotuwa","","206","746","","","","1","8","11","","","",""
"","","පුත්තලම","","","","","","","","","","","","","",""
"","19","Gj;jsk;","Anamaduwa","Flood","155","532","","","","1","16","2","","","",""
"","","Puttalam","Madampe","","1338","4221","","","","","23","","","","",""
"","","","Arachchikattuwa","","2614","9205","","","","2","13","8","","","",""
"","","","","","2020.11.09","","","","","","","","","","",""
"","","","Halawatha","","6722","26759","","","","1","12","6","1","","",""
"වයඹ පලාත","","","Kalpitiya","","3665","13423","","","","","1","2","","","",""
"tlNky;","","","Pallama","","94","281","","","","","17","28","","","",""
"khfhzk;","","","Nawagaththegama","","6","17","","","","","","","","","",""
"North","","","","","","","","","","","","","","","",""
"","","","Mahawewa","","1340","4437","1","","","","","2","1","","",""
"Western","","","","","","","","","","","","","","","",""
"","","","Naththandiya","","1095","4499","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","41924","150176","7","1","0","51","378","133","9","0","0","0"
"","","","Paduwasnuwara East","","1","4","","","","","1","","","","",""
"","","","Narammala","","2","3","","","","","1","1","","","",""
"","","","Rideegama","","10","34","2","","","","","","","","",""
"","","කුරුනෑගල","Polgahawela","","300","700","2","1","","","","","","","",""
"","","","","","2021.11.08-","","","","","","","","","","",""
"","20","FUdhfy","","Flood","","","","","","","","","","","",""
"","","","Alawwa","","14","49","","","","","","","","","",""
"","","","","","2021.11.09","","","","","","","","","","",""
"","","Kurunegala","Udubaddawa","","3","9","2","","","","","","","","",""
"","","","Pannala","","85","316","","","","","","","","","",""
"","","","Bingiriya","","17","54","","","","","","","","","",""
"","","","Weerambugedara","","5","15","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","437","1184","6","1","0","0","2","1","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","42361","151360","13","2","0","51","380","134","9","0","0","0"
