"","The forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"05.12.23/1730","16.10/80.40","70-80 kmph gusting to 90 kmph","Cyclonic Storm"
"05.12.23/2330","16.60/80.80","55-65 kmph gusting to 75 kmph","Deep Depression"
"06.12.23/0530","17.20/81.40","40-50 kmph gusting to 60 kmph","Depression"
"06.12.23/1130","17.70/82.10","20-30 kmph gusting to 40 kmph","Low Pressure Area"
