"","Weather Forecast for Main Cities","","","Date :","14-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","20","95","55","Mainly fair"
"Batticaloa","31","22","95","75","Mainly fair"
"Colombo","32","25","80","65","Mainly fair"
"Galle","32","25","85","65","Mainly fair"
"Jaffna","32","19","95","65","Mainly fair"
"Kandy","32","17","90","50","Mainly fair"
"Nuwara-Eliya","22","6","85","25","Mainly fair"
"Ratnapura","36","22","90","50","Mainly fair"
"Trincomalee","30","21","95","65","Mainly fair"
"Mannar","31","22","90","70","Mainly fair"
