"Kahawatta","Cutting Failure","1","4","","","","","1"
"","2024.12.20","","","","","","",""
"Balangoda","Heavy Rain","1","1","","","","","1"
"රත්නපුර","","","","","","","",""
"Ayagama","Tree Falling","1","2","","","","","1"
"5
,uj;jpdGhp","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","",""
"Eheliyagoda","High Wind","3","13","","","","","3"
"Rathnapura","","","","","","","",""
"rg;ufKt","2024.12.21","","","","","","",""
"Kalawana","Cutting Failure","2","5","","","","","2"
"Sabaragamuwa","","","","","","","",""
"Kiriella","Tree Falling","1","2","","","","","1"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","9","27","0","0","0","0","9"
