"","ප්‍රධාන  න ර ස්දහා කාලගුණ අනාවැකිය","","","","2023-08-20"
"","උෂතණත්වය(ගස්. අංශක)","","ස්ාගේක්ෂ ආර්ද්‍රතාවය(%)","",""
"න රය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","25","90","45","ප්‍රධාන වශනයේ වැසි රහිත"
"මඩකලපුව","36","25","85","55","ප්‍රධාන වශනයේ වැසි රහිත"
"නකාළඹ","32","26","80","65","ප්‍රධාන වශනයේ වැසි රහිත"
"ගාල්ල","29","26","85","75","වැසි ස්වල්පයක්"
"යාපනය","31","27","80","65","ප්‍රධාන වශනයේ වැසි රහිත"
"මහනුවර","30","21","85","60","වැසි ස්වල්පයක්"
"නුවරඑළිය","19","13","90","75","ප්‍රධාන වශනයේ වැසි රහිත"
"රත්නපුරය","32","24","90","65","වැසි ස්වල්පයක්"
"ිකුණාමලය","36","26","80","45","ප්‍රධාන වශනයේ වැසි රහිත"
"මේනාරම","32","27","85","75","ප්‍රධාන වශනයේ වැසි රහිත"
