"","Weather Forecast for Main Cities","","","","20-Aug-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","45","Mainly fair"
"Batticaloa","36","25","85","55","Mainly fair"
"Colombo","32","26","80","65","Mainly fair"
"Galle","29","26","85","75","A few showers"
"Jaffna","31","27","80","65","Mainly fair"
"Kandy","30","21","85","60","A few showers"
"Nuwara-Eliya","19","13","90","75","Mainly fair"
"Ratnapura","32","24","90","65","A few showers"
"Trincomalee","36","26","80","45","Mainly fair"
"Mannar","32","27","85","75","Mainly fair"
