"","Weather Forecast for Main Cities","","","Date :","19-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","55","Mainly fair"
"Batticaloa","37","26","85","55","Mainly fair"
"Colombo","31","27","85","70","Several spells of light showers"
"Galle","29","26","95","80","Several spells of showers"
"Jaffna","33","25","90","70","Mainly fair"
"Kandy","29","24","85","70","Several spells of light showers"
"Nuwara-Eliya","17","14","95","90","Several spells of showers"
"Ratnapura","32","25","95","90","Showers at times"
"Trincomalee","35","26","80","60","Mainly fair"
"Mannar","32","27","90","75","Mainly fair"
