"","Weather Forecast for Main Cities","","","","6-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","27","90","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","27","85","75","Several spells of showers"
"Galle","30","26","90","80","Several spells of showers"
"Jaffna","32","27","85","75","A few showers"
"Kandy","29","23","95","70","A few showers"
"Nuwara-Eliya","23","16","95","75","A few showers"
"Ratnapura","31","24","95","85","Several spells of showers"
"Trincomalee","34","26","90","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","27","85","75","A few showers"
