"","","","","Drowning","","","","","","","","","","","",""
"","","හම්බන්තතොට","","2019.06.23","1","4","3","1","","","","","","","",""
"","","","Tissamaharama","","","","","","","","","","","","",""
"","13","`k;ghe;Njhl;I","","","1587","7045","","","","","","","","","",""
"","","Hambantota","","","","","","","","","","","","","",""
"","","","Okewela","","82","369","","","","","","","","","",""
"","","","Drought","2019.04.08","","","","","","","","","","","",""
"දකුනු ප඼෈ත","","","Weeraketiya","","50","220","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","",""
"","","","Beliatta","","50","192","","","","","","","","","",""
"Southern","","","","","","","","","","","","","","","",""
"","","දිස෇ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","2151","9321","4","1","0","0","0","0","0","0","0","0"
"","","ග෈ල්඼","","","","","","","","","","","","","",""
"","14","fhy","Galle","Drowning
2019.06.26","","","1","","","","","","","","",""
"","","Galle","","","","","","","","","","","","","",""
