"","Weather Forecast for Main Cities","","","Date :","2024-10-08"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","95","65","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","26","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","30","23","95","70","Showers or thundershowers"
"Galle","30","24","95","75","Showers or thundershowers"
"Jaffna","30","24","90","65","Showers or thundershowers"
"Kandy","30","23","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","13","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","24","95","65","Showers or thundershowers"
"Trincomalee","34","24","95","70","Showers or thundershowers after 2.00p.m"
"Mannar","30","23","95","70","Showers or thundershowers after 2.00p.m"
