"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","28","24","95","75","වැසි වාර කිහිපයක්"
"මඩකලපුව","28","24","95","75","විටින් විට වැසි හහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති හේ"
"හකාළඹ","29","24","95","70","ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි හහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති හේ"
"ගාල්ල","29","24","95","75","විටින් විට වැසි හහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති හේ"
"යාපනය","28","24","95","80","වැසි වාර කිහිපයක්"
"මහනුවර","26","22","95","80","විටින් විට වැසි හහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති හේ"
"නුවරඑළිය","16","14","95","80","විටින් විට වැසි හහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති හේ"
"රත්නපුරය","28","23","95","75","ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි හහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති හේ"
"ිකුණාමලය","28","24","95","85","විටින් විට වැසි හහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති හේ"
"මන්නාරම","29","24","95","80","වැසි වාර කිහිපයක්"
