"","Weather Forecast for Main Cities","","","","5-May-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","70","A few showers"
"Batticaloa","32","25","95","75","Showers or thundershowers after 2.00p.m"
"Colombo","30","24","95","75","Several spells of showers"
"Galle","30","24","95","75","Several spells of showers"
"Jaffna","31","24","95","80","Showers or thundershowers"
"Kandy","29","22","95","60","Several spells of showers"
"Nuwara-Eliya","20","14","95","70","Several spells of showers"
"Ratnapura","31","24","95","70","Several spells of showers"
"Trincomalee","32","24","95","70","Showers or thundershowers after 2.00p.m"
"Mannar","31","25","95","65","A few showers"
"","ප්‍රධාන  නගර සදහා කාෙගුණ අනාවැකිය","","","","2023-05-05"
"","උෂ්ණත්වය(ලස. අංශ්‍ක)","","සාලේක්ෂ ආර්ද්‍රතාවය(%)","",""
"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","32","24","95","70","වැසි සරවල්පයක්"
"මඩකලපුව","32","25","95","75","සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ"
"ගකාළඹ","30","24","95","75","වැසි වාර කිහිපයක්"
"ොල්ල","30","24","95","75","වැසි වාර කිහිපයක්"
"යාපනය","31","24","95","80","වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ"
"මහනුවර","29","22","95","60","වැසි වාර කිහිපයක්"
"නුවරඑළිය","20","14","95","70","වැසි වාර කිහිපයක්"
"රත්නපුරය","31","24","95","70","වැසි වාර කිහිපයක්"
"ිකුණාමලය","32","24","95","70","සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ"
"මනනාරම","31","25","95","65","වැසි සරවල්පයක්"
"","பிரதான நகரங் களுக்கான வானிலை முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"அனுராதபுரம்","32","24","95","70","சிறிதளவில்  மழை பெய் யும்"
"","","","","","பி.ெ. 2.00 மணிக்குெ் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"மட்டக்களப்பு","32","25","95","75",""
"","","","","","மழை பெய் யும்"
"வகாழும் பு","30","24","95","75","அடிக்கடி மழை பெய் யும்"
"காலி","30","24","95","75","அடிக்கடி மழை பெய் யும்"
"யாழ் ப்பாணம்","31","24","95","80","மழை அல் லது இடியுடன்  கூடிய மழை பெய் யும்"
"கண் டி","29","22","95","60","அடிக்கடி மழை பெய் யும்"
"நுவவரலியா","20","14","95","70","அடிக்கடி மழை பெய் யும்"
"இரத்தினபுரி","31","24","95","70","அடிக்கடி மழை பெய் யும்"
"","","","","","பி.ெ. 2.00 மணிக்குெ் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"திருககாணமலை","32","24","95","70",""
"","","","","","மழை பெய் யும்"
"மன் னார்","31","25","95","65","சிறிதளவில்  மழை பெய் யும்"
