"","","","Relative","Humidity",""
"","Temperature (0C)","","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","90","65","Showers or thundershowers after 2.00p.m"
"Batticaloa","33","25","85","60","Showers or thundershowers after 2.00p.m"
"Colombo","32","25","90","75","Showers or thundershowers after 4.00p.m"
"Galle","30","25","95","75","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","26","80","70","Showers or thundershowers are likely after 2.00p.m"
"Kandy","29","20","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","12","95","80","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","22","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","24","90","60","Showers or thundershowers after 2.00p.m"
"Mannar","33","25","90","70","Showers or thundershowers after 2.00p.m"
