"","","","","","Page 2","","","","","","","","",""
"","Fire","","1","4","","","","","1","","","","",""
"","","2021.01.02","","","","","","","","","","","",""
"","","","1","4","","","","","1","","","","",""
"Mawanelle","Tree Fallen","","","","","","","","","","","","",""
"","","","1","5","","","","","1","","","","",""
"","","2021.01.06","","","","","","","","","","","",""
"","Cutting Failure","","1","4","","","","","1","","","","",""
"","Tree Fallen","2021.01.05","1","7","","","","","1","","","","",""
"Ruwanwella","","","","","","","","","","","","","",""
"","Lightning","2021.01.04","1","2","","","","","","","","","",""
"කෑෙල්ල","","","","","","","","","","","","","",""
"7
Nffhiy    
Ruwanwelle","Heavy Rain","2021.01.06","1","2","","","","","1","","","","",""
"ස්ත්‍බරෙමුව","","","","","","","","","","","","","",""
"Kegalle","","","","","","","","","","","","","",""
"පලාත/rg;ufKt/ 
Aranayaka","Lightning","2021.01.06","1","4","","","","","1","","","","",""
"Sabaragamuwa/","","","","","","","","","","","","","",""
"","Tree Fallen","2021.01.06","6","22","","","","","6","","","","",""
"Kegalle","Flood","2021.01.06","10","20","","","","","6","1","","","",""
"","Land slide Risk","","1","5","","","","","","","","","",""
"Galigamuwa","Tree Fallen","2021.01..06","1","2","","","","","1","1","","","",""
"Warakapola","Lightning","","1","2","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","27","83","0","0","0","0","21","2","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","27","83","0","0","0","0","21","2","0","0","0","0"
"හම්බනගතාට`k;g","","","","","","","","","","","","","",""
"8
Ihala Beligalla West
he;Njhl;il","Heavy Rain","2021.01.09","1","1","","","","","1","","","","",""
"දකුනු පලාත/njd;","","","","","","","","","","","","","",""
"Hambantota","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
Southern/","","","1","1","0","0","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","1","0","0","0","0","1","0","0","0","0","0"
"ගපාගලානනරුව","","","","","","","","","","","","","",""
"උතුරුමැද 
9
Hingurakgoda
nghyd;dWit","Minor Flood","2021.01.11","3","14","","","","","","","","","",""
"පලාත/tlkj;jpa 
Polonnaruwa","","","","","","","","","","","","","",""
"khfhzk;/ North","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","3","14","0","0","0","0","0","0","0","0","0","0"
"Central/","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","3","14","0","0","0","0","0","0","0","0","0","0"
"ගකාළඹ/nfhOk;G/","","","","","","","","","","","","","",""
"10
Moatuwa","High wind","2021.01.11","50","220","","","","","43","","","","",""
"Colombo","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","50","220","0","0","0","0","43","0","0","0","0","0"
"Western/ Nky;","","","","","","","","","","","","","",""
"khfhzk/බස්ත්‍රනාහිර","","","","","","","","","","","","","",""
"කළුතර/fSj;Ji","","","","","","","","","","","","","",""
"11
Panaura
 පලාත","Lightning","2021.01.10","1","","","","","","1","","","","",""
"w/ Kalutara","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","0","0","0","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","51","220","0","0","0","0","44","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","2231","8296","0","3","0","0","102","3","0","1","3","14"
