"","Weather Forecast for Main Cities","","","Date :","6-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","70","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","25","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","95","70","Several spells of showers"
"Galle","31","24","95","70","Showers or thundershowers"
"Jaffna","33","24","95","65","Several spells of showers"
"Kandy","30","22","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","14","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","24","90","70","Showers or thundershowers after 2.00p.m"
"Mannar","33","26","95","65","Showers or thundershowers after 2.00p.m"
