"","Weather Forecast for Main Cities","","","Date :","25-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","95","50","Showers at times"
"Batticaloa","29","25","95","70","Showers at times"
"Colombo","33","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","30","25","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","32","22","95","65","Several spells of showers"
"Kandy","32","21","95","50","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","11","95","35","Showers at times"
"Ratnapura","38","22","95","45","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","24","95","65","Showers at times"
"Mannar","31","25","95","70","Showers or thundershowers are likely after 2.00p.m"
