"Kirinda Puhulwella","","2019.08.07","6","28","","","","","6"
"Hakmana","","2019.08.07","72","267","","","","","72"
"Kamburupitiya","","2019.08.08","4","14","","","","","4"
"Mulatiyana","","2019.08.08","2","10","","","","","2"
"Thihagoda","","2019.08.08","6","20","","","","","6"
"ම෈තර","","","","","","","","",""
"Kotapola","Heavy  rain &","2019.08.07","11","48","","1","","","11"
"18
khj;jiw","","","","","","","","",""
"Pasgoda","High wind","2019.08..08","9","34","","","","","9"
"Matara","","","","","","","","",""
"Pitabeddara","","2019.08.10","7","31","","1","","","7"
"Dikkwella","","2019.08.11","5","23","","","","","5"
"Weligama","","2019.08.08","7","32","","1","","","7"
"Akuressa","","2019.08.08","4","17","","","","","4"
"Mathara","","2019.08.11","4","17","","","","","4"
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","137","541","0","3","0","0","137"
