"","஫ாவட்டம்","","","","","","","","","","","sT","நிறுவனங்கரி","fl;likg;Gf;fs;","f   No.","",""
"","","","","","","","","","","KOik","","","","","","",""
"","District","DS Division","","","Families","People","","","g","","","","ன் சசதங்கள்;","","","fs;","Persons"
"","","","","","","","","People","","Fully","","Partiall","","Damages to","of Safety","",""
"","","","","","","","","","","","","","Small, Medium,","","","",""
"","","","","","","","","","People","","","","","","","Families",""
"","","","","","","","","","","","","y","","critical","Location","",""
"","","","","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","","","","Damages","Infrastructure","s","",""
"","","Ruwanwella","","2019.08.08","20","77","","","","","","5","1","","","",""
"","","","","2019.08.12","1","5","","","","","","1","","","","",""
"","","Bulathkohupitiya","","","","","","","","","","","","","","",""
"","","","","","9","35","","","","","","7","","","","",""
"","","Dehiovita","","","11","30","","","","","","4","","","","",""
"","ක්ගල්඼ Nffhiy","Aranayaka","Heavy  rain &","2019.08.08","1","5","","","","","","","","","","",""
"","1","","","","","","","","","","","","","","","",""
"","Kegalle","Deraniyagala","High wind","","16","69","","","","","","16","","","","",""
"","","","","","99","445","","","","","","97","","","","",""
"","","Yatiyanthota","","","","","","","","","","","","","","",""
"","","","","2019.08.09","9","33","","","","","","9","1","","","",""
"","","Warakapola","","2019.08.09/12","9","36","","","","","","9","","","","",""
"","","Mawanella","","2019.08.12","2","4","","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","","177","739","0","0","0","","0","149","2","0","0","0","0"
"","","","","2019.08.08","17","68","","","","","","16","2","","","",""
"","","","High wind","","","","","","","","","","","","","",""
"","","","","","9","37","","","","","","8","1","","","",""
"","","Rathnapura","Flood","","437","1772","","","","","","9","","","","",""
"","","","","2019.08.13","","","","","","","","","","","","",""
"","","","Cutting Failure","","21","94","","","","","","16","","","","",""
"","","","Rock Fallen","","4","16","","","","","","4","","","","",""
"","","Pelmadulla","Cutting Failure","2019.08.13","13","47","","","","","","13","","","","",""
"","","","High wind","2019.08.08","10","37","","1","","","","10","1","","","",""
"","","Niwithigala","","","","","","","","","","","","","","",""
"","","","Cutting Failure","2019.08.13","1","5","","","","","","1","","","","",""
"","","Kalawana","High wind","2019.08.08","","","","","","","","","1","","","",""
"සබරගමුල ප඼෈ත","","","","","","","","","","","","","","","","",""
"rg;ufKt","","","","2019.08.08","5","17","","","","","","5","","","","",""
"","","","High wind","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","6","26","","","","","","5","1","","","",""
"","","Elapatha","Flood","","101","381","","","","","","","4","","","",""
"","","","","2019.08.13","","","","","","","","","","","","",""
"","","","Cutting Failure","","5","23","","","","","","5","","","","",""
"","රත්නපුර","","","","","","","","","","","","","","","",""
"","","","Landslide Risk","","2","7","","","","","","","","","","",""
"","2
,uj;jpdGhp","","","","","","","","","","","","","","","",""
"","","","High wind","2019.08.08","7","27","","","","","","7","1","","","",""
"","Rathnapura","Ayagama","","","","","","","","","","","","","","",""
"","","","Lightning","2019.08.13","7","28","1","","","","1","5","","","","",""
"","","","High wind","2019.08.08","51","162","","2","","","3","48","5","","","",""
"","","Eheliyagoda","","","","","","","","","","","","","","",""
"","","Imbulpe","High wind","2019.08.08","2","7","","","","","","2","","","","",""
"","","","","2019.08.08","9","34","","","","","","8","1","","","",""
"","","","High wind","","","","","","","","","","","","","",""
"","","","","","1","6","","","","","","1","1","","","",""
"","","Kiriella","","","","","","","","","","","","","","",""
"","","","Flood","2019.08.13","79","312","","","","","","","","","","",""
"","","","Cutting Failure","","3","15","","","","","","3","","","","",""
"","","Kuruwita","High wind","2019.08.08","27","108","","","","","","27","1","","","",""
"","","","","2019.08.08","","8","","","","","","","","","","",""
"","","","High wind","","","","","","","","","","","","","",""
"","","Opanayaka","","","3","14","","","","","","3","","","","",""
"","","","","2019.08.13","","","","","","","","","","","","",""
"","","","Tree fallen","","1","5","","","","","","1","","","","",""
"","","Balangoda","High wind","2019.08.08","2","","","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","","823","3256","1","3","0","","4","199","19","0","0","0","0"
