"","","","High wind","2019.08.08","","","","","","","","","","","",""
"","","කළුතර","","","","","","","","","","","","","",""
"","","","","","4","15","","1","","","4","","","","",""
"","14","fSj;Jiw","Agalawaththa","","","","","","","","","","","","",""
"Western/ Nky;","","","","","","","","","","","","","","","",""
"","","Kalutara","","Rock Fallen
2019.08.13","1","5","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"/බස෇න෈හිර ප඼෈ත","","","Horana","","8","30","","","","","8","","","","",""
"","","","Beruwala","","107","385","","","","","107","","","","",""
"","","","High wind","2019.08.08","","","","","","","","","","","",""
"","","","Walallavita","","8","22","","","","","8","","","","",""
"","","","Millaniya","","6","35","","","","","6","1","","","",""
"","","","Panadura
Tree fallen","2019.08.10","1","6","","","","","1","","","","",""
"","","","Madurawala
High wind","2019.08.08","3","11","","","","","3","","","","",""
"","","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","320","1176","0","2","0","1","318","12","0","0","0","0"
"","","","Gampaha","","29","70","","","","","28","3","","","",""
"","","","Mahara","","15","58","","","","","15","","","","",""
"","","","Biyagama","","19","79","","","","","18","1","","","",""
"","","ගම්පහ","","","","","","","","","","","","","",""
"","","","Aththanagalla","","215","1345","","","","","215","7","","","",""
"","15","fk;g`h","High Wind","2019.08.08","","","","","","","","","","","",""
"","","","Waththala","","45","169","","","","","45","","","","",""
"","","Gampaha","","","","","","","","","","","","","",""
"","","","Katana","","13","47","","","","","13","","","","",""
"","","","Meerigama","","3","12","","","","","3","","","","",""
"","","","Jaela","","6","28","","","","","6","","","","",""
"","","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","345","1808","0","0","0","0","343","11","0","0","0","0"
"","","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","886","3861","0","3","0","1","882","37","0","0","0","0"
"","","","Hambantota","2019.08.08","14","","","","","","","","","","",""
"","","හම්බන්නතොට","Beliatta","","11","52","","","","","11","","","","",""
"","","","","2019.08.09","","","","","","","","","","","",""
"","16","`k;ghe;Njhl;il","Ambalanthota
High wind","","10","41","","","","","5","10","","","",""
"","","Hambantota","Okawela","2019.08.12","4","17","","","","","4","1","","","",""
"","","","Katuwana","2019.08.08/13","10","38","","","","","","10","","","",""
"","","","Walassmulla","2019.08.13","18","70","","","","","18","1","","","",""
"","","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","67","218","0","0","0","0","38","22","0","0","0","0"
"","","","Imaduwa","2019.08.07","22","86","","","","1","22","1","","","",""
"","","","Tree fallen
Nagoda","2019.08.08","12","32","","","","","12","1","","","",""
"","","","Yakkalamulla","2019.08.09","6","18","","","","","6","","4","","",""
"","","","Baddegama","","41","155","","","","1","40","","","","",""
"","","","Gonapinuwala","","38","110","","","","","38","2","","","",""
"","","","Kadawatsathara","","47","141","","","","1","29","1","","","",""
"","","","Boope Poddala","","14","70","","1","","","14","3","1","","",""
"","","","Thawalame","","10","35","","","","","10","1","","","",""
"","","","Habaraduwa","","32","132","","","","","32","1","","","",""
"","","ග෈ල්඼","","","","","","","","","","","","","",""
"","17","","Welivitiya Divithura","","4","16","","","","","4","","","","",""
"","","fhyp      Galle","","","","","","","","","","","","","",""
"","","","Elpitiya","2019.08.08 /","7","18","","","","","7","","","","",""
"","","","High wind","","","","","","","","","","","","",""
"","","","Karandeniya","2019.08.10","6","20","","","","","6","","","","",""
"දකුනු ප඼෈ත/njd;","","","","","","","","","","","","","","","",""
"","","","Bentota","","8","30","","","","","8","1","","","",""
"khfhzk;/","","","","","","","","","","","","","","","",""
"","","","Hikkaduwa","","23","86","","","","","23","2","","","",""
"Southern/","","","","","","","","","","","","","","","",""
"","","","Ambalangoda","","32","130","","","","","32","","","","",""
"","","","Akmeemana","","15","48","","1","","","15","","","","",""
"","","","Niyagame","","4","17","","","","","4","","","","",""
"","","","Neluwa","","6","25","","","","","6","","","","",""
"","","","Balapitiya","","8","26","","","","","8","","","","",""
"","","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","335","1195","0","2","0","3","316","13","5","0","0","0"
