"","","","","Page 2","","","","","","","","","",""
"මුලතිව්","","","","","","","","","","","","","",""
"Oddusudan
Ky;iyj;jPT 
මුලතිව්","Lighting","2019.11.22","1","5","","","","","1","","","","",""
"Mulaitivu
Ky;iyj;jPT","","","","","","","","","","","","","",""
"Mulaitivu
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","1","5","0","0","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","1","5","0","0","0","0","1","0","0","0","0","0"
"මඩකලපුව","","","","","","","","","","","","","",""
"Koralaipattu
kl;lf;fsg;G 
නැමගනහිර පලාත","High Wind","2019.11.22","7","31","1","","","","7","","","","",""
"Batticaloa
fpof;F","","","","","","","","","","","","","",""
"Eastern/
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","7","31","1","0","0","0","7","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","7","31","1","0","0","0","7","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","742","2964","2","3","0","0","97","2","0","1","61","203"
"","","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
