"","","","","","","Deaths","","Missing","","","","","","","","Remarks"
"","","","","","","","","","","","","","vz;zpf;if","","",""
"","மாவட்டம்","","","","","","","","","gFjpasT","நிறுவனங்களின்","","","FLk;gq;fs;","egHfs;",""
"","","gpuNjr nra.gp","commenced","FLk;gq;fs;","egHfs;","","Injured","People","KOik","","","fl;likg;Gf;fs;","","","",""
"","","","","","","","","","","","","","No. of","","",""
"","","","","Families","People","","","","Fully","Partially","சேதங்கள்; Small,","Damages to","","Families","Persons",""
"","District","DS Division","","","","","People","","","","","","Safety","","",""
"","","","","","","","","","","","Medium,","critical","","","",""
"","","","","","","","","","","","","","Locations","","",""
"","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","","Infrastructure","","","",""
"","","","","","","","","","","","Damages","","","","",""
"","","Town & Gravets
High wind","2025.09.26","1","2","","","","","1","","","","","",""
"","Seruwila","High wind","2025.09.26","2","3","","","","","1","","","","","",""
"","","High wind","2025.09.29","1","4","","","","","1","","","","","",""
"","","","","","","","","","","","","","","","","01 person died"
"","Muthur","","","","","","","","","","","","","","",""
"","අම්පාර","High wind","2025.09.29","1","5","1","","","","","","","","","","due to Boat"
"","mk;ghiw 
1","","","","","","","","","","","","","","","capzied"
"නැවගනහිර පලාත","","","","","","","","","","","","","","","",""
"","Ampara","","","","","","","","","","","","","","","a fisherman"
"fpof;F khfhzk;","","","","","","","","","","","","","","","","has been"
"Eastern","","","","","","","","","","","","","","","","missing after"
"","Kinniya","High wind","2025.09.29","1","3","","","1","","","","","","","",""
"","","","","","","","","","","","","","","","","going for"
"","","","","","","","","","","","","","","","","fishing in the"
"","","","","","","","","","","","","","","","","kinniya area"
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","6","17","1","0","1","0","3","0","0","0","0","0",""
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","6","17","1","0","1","0","3","0","0","0","0","0",""
"","","","2025.09.22","1","5","","","","","1","","","","","",""
"","Katuwana","","","","","","","","","","","","","","",""
"","","","","1","2","","","","","1","","","","","",""
"","","High wind","2025.09.25","","","","","","","","","","","","",""
"","හම්බනවතාට","","","1","5","","","","","1","","","","","",""
"","Beliaththa","","","","","","","","","","","","","","",""
"","2
`k;ghe;Njhl;il","","2025.09.26","1","3","","","","","1","","","","","",""
"දකුණු පලාත","","","","","","","","","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","two people"
"","Sooriyawewa","Elephant attack","2025.09.29","2","2","2","","","","","","","","","","died due to"
"Southern","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","elephant attack"
