"","ප්‍රධාන  නගර සදො කාලගුණ අනාවැකිය","","","දිනය :     2024-04-12",""
"","","උෂ්ණත්වය(හස. අංශක)","","සාහේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","26","95","60","සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ"
"මඩකලපුව","30","26","95","75","විටින් විට වැසි"
"ගකාළඹ","33","26","90","60","සවස 4.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ"
"ොල්ල","32","26","95","75","සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ"
"යාපනය","32","26","95","65","වැසි ස්වල්පයක්"
"","","","","","සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මහනුවර","33","22","95","60",""
"","","","","","හැක"
"නුවරඑළිය","19","12","95","60","සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ"
"රත්නපුරය","34","24","95","65","සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ"
"ත්‍රිකුණාමලය","32","27","90","65","විටින් විට වැසි"
