"","Weather Forecast for Main Cities","","","","7-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","65","Several spells of light showers"
"Batticaloa","33","26","85","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","26","90","75","Several spells of showers"
"Galle","30","26","90","80","Several spells of showers"
"Jaffna","32","27","90","75","Several spells of light showers"
"Kandy","29","22","95","70","Several spells of showers"
"Nuwara-Eliya","23","14","95","70","Several spells of showers"
"Ratnapura","31","24","95","80","Showers at times"
"Trincomalee","34","26","85","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","27","85","70","Several spells of light showers"
