"","Weather Forecast for Main Cities","","","","2024-08-06"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","95","50","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","85","70","Several spells of showers"
"Galle","30","26","85","75","Several spells of showers"
"Jaffna","34","26","85","55","Showers or thundershowers are likely after 2.00p.m"
"Kandy","31","23","95","65","Several spells of showers"
"Nuwara-Eliya","21","13","95","75","Several spells of showers"
"Ratnapura","33","24","95","70","Showers at times"
"Trincomalee","34","24","90","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
