"","","","nra.gp    DS Division","","","","","","","","KOik","sT","Kaw;rpfs;"
"","","District","","","","s;","People","","People","g","","",""
"","","","","","","","","","","","","Partiall","Small, Medium,"
"","","","","","","","","","","","Fully","",""
"","","","","","","Families","","","","People","","",""
"","","","","","","","","","","","","y","Enterprises"
"","","","","","","","","","","","","","Damages"
"","","","Negombo","","","65","290","","","","","",""
"","","","","Flood","2018.11.28","","","","","","","",""
"","","","Katana","","","493","2191","","","","","",""
"","","ගම්පහ","Ja-ela","High Wind","2018.11.29","11","56","","","","","6","6"
"Western/","","","","","","","","","","","","",""
"","1","fk;g`h","","","","","","","","","","",""
"Nky;","","","","","","","","","","","","",""
"","","","Gampaha","Tree Fallen","2018.11.25","1","5","","","","","1",""
"","","Gampaha","","","","","","","","","","",""
"khfhzk/;","","","","","","","","","","","","",""
"බස්නාහිර","","","Meerigama","High Wind","2018.11.24","4","11","","","","1","3",""
"පලාත","","","","","","","","","","","","",""
"","","","Wattala","Heavy Rain","2018.11.30","13","65","","","","","13",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","587","2618","0","0","0","1","23","6"
