"","Weather Forecast for Main Cities","","","","16-Aug-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","85","45","Mainly fair"
"Batticaloa","34","25","85","60","Mainly fair"
"Colombo","31","26","80","65","Mainly fair"
"Galle","30","27","85","75","Mainly fair"
"Jaffna","32","27","80","65","Mainly fair"
"Kandy","31","19","90","50","Mainly fair"
"Nuwara-Eliya","21","12","95","70","Mainly fair"
"Ratnapura","34","23","90","55","Mainly fair"
"Trincomalee","36","26","80","45","Mainly fair"
"Mannar","31","27","80","70","Mainly fair"
