"","","","","","","Page 2","","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","Nuwara Eliya","Landslide
2019.12.04-05","5","21","","","","","","1","","","1","2","","11 Lipakele Childcare Center"
"","","","","","","","","","","","","","","","","","01. Munwatte Temple,"
"","","","","","","","","","","","","","","","","","02. Naranthalawa"
"","","","","","","","","","","","","","","","","","Wewakele temple,"
"","","","","","","","","","","","","","","","","","03. Magrat School,"
"","","","2019.11.30/12.1","","","","","","","","","","","","","","04. Ekangapura School,"
"","","","Land Slide Risk","150","406","","3","","1","","","","","10","107","272",""
"","","","1","","","","","","","","","","","","","","05. Brooksight Childcare"
"","නුවරඑලිය","","","","","","","","","","","","","","","","centre"
"7","","","","","","","","","","","","","","","","","06.Liyanwala School, 07."
"","Etnuypah","","","","","","","","","","","","","","","",""
"","","Walapane","","","","","","","","","","","","","","","Watambe School, 08."
"","Nuwara Eliya","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Harasbedda Temple"
"මධ්‍යම","","","","","","","","","","","","","","","","",""
"","","","Cutting Failure
2019.12.02","5","22","","","","","","2","","","","","",""
"පලාත/kj;jpa","","","","","","","","","","","","","","","","",""
"khfhzk;/ Central","","","","","","","","","","","","","","","","",""
"","","","Rock fallen
2019.12.02","1","5","","","","","","","","","","","",""
"","","","2019.12.02
Collapse of a wall","1","5","","","","","","1","","","","","",""
"","","Hankuranketha","Landslide Risk","2","10","","","","","","","","","1","2","10","Kithulpe Temple"
"","","","2019.11.30","","","","","","","","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","164","469","","3","0","1","0","4","0","0","12","111","293",""
"","මාතගල්","","","","","","","","","","","","","","","",""
"8","khj;jis","Raththota","Heavy Rain
2019.12.01","16","62","","","","","","","","","1","16","","62 Pitakandara Tamil"
"","","","","","","","","","","","","","","","","","School"
"","Matale","","","","","","","","","","","","","","","",""
