"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","90","55","Mainly fair"
"Batticaloa","31","26","95","75","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","26","85","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","26","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","33","26","95","60","Mainly fair"
"Kandy","33","22","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","23","11","95","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","24","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","25","90","60","Mainly fair"
"Mannar","35","26","90","65","Showers or thundershowers are likely after 2.00p.m"
