"","","","Islandwide Water Level & Rainfall Situation in Major Rivers","","","","","","","",""
"DATE :","26-Oct-2023","","","","","","","TIME :","6:30 PM","",""
"","","","Gauging Station","","","","","","","",""
"","","","","","","","Water","Water","","Water Level","9 Hr RF in"
"","","","","","Minor","Major","","","","",""
"River Basin","Tributory/River","","","Alert","","","Level at","Level at","Remarks","Rising or","mm at 6.00"
"","","Station","Unit","","Flood","Flood","","","","",""
"","","","","Level","","","5:00 pm","6.00 pm","","Falling","pm"
"","","","","","Level","Level","","","","",""
"","Kelani Ganga","N' Street","ft","4.00","5.00","7.00","1.80","1.50","Normal","","-"
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","2.66","2.63","Normal","","32.1"
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","10.50","10.49","Normal","","0.0"
"Kelani Ganga","","","","","","","","","","",""
"","Kelani Ganga","Kitulgala","m","3.00","4.00","6.00","1.88","1.90","Normal","","0.0"
"(RB 01)","","","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","0.81","0.80","Normal","","0.0"
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","0.73","0.77","Normal","","0.0"
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","0.94","1.05","Normal","","0.0"
"","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","1.07","1.02","Normal","","15.1"
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","6.50","6.70","Normal","","41.1"
"Kalu Ganga","","","","","","","","","","",""
"","Kalu Ganga","Ratnapura","m","5.20","7.50","9.50","2.28","2.65","Normal","","9.7"
"(RB 03)","","","","","","","","","","",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","2.04","2.72","Normal","","20.4"
"","","Kalawellawa","","","","","","","","",""
"","Kuda Ganga","","m","5.00","6.50","8.00","3.95","4.01","Normal","","35.9"
"","","(Millakanda)","","","","","","","","",""
"","Gin Ganga","Baddegama","m","3.50","4.00","5.00","2.95","2.93","Normal","","4.8"
"Gin Ganga","","","","","","","","","","",""
"(RB 09)","","","","","","","","","","",""
"","Gin Ganga","Tawalama","m","4.00","6.00","7.50","2.53","2.47","Normal","","43.3"
"","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","2.07","2.07","Minor Flood","","0.0"
"","Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","6.13","6.18","Minor Flood","Rising","2.5"
"Nilwala Ganga","","","","","","","","","","",""
"(RB 12)","","","","","","","","","","",""
"","Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","1.96","1.96","Normal","","26.1"
"","Urubokka Ganga","Urawa","m","2.50","4.00","6.00","1.30","1.28","Normal","","1.8"
"","Maha Oya","Badalgama","m","5.00","6.20","9.60","3.21","3.19","Normal","","0.0"
"Maha Oya","","","","","","","","","","",""
"(RB 102)","","","","","","","","","","",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","1.85","1.85","Normal","","0.0"
"Attanagalu Oya","","","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","2.22","2.20","Normal","","0.0"
"(RB 103)","","","","","","","","","","",""
