"","","","","","","Page 2","","","","","","","","","",""
"","","Ruwanwella","High Wind /","2019.11.24","1","4","","","","","1","","","","",""
"","","Rambukkana","Lightning","2019.11.24","1","4","","","","","1","","","","",""
"","කෑගල්ල Nffhiy","","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලොත","8","","","","","","","","","","","","","","",""
"","Kegalle","Yatiyanthota","Heavy Rain","","1","5","","","","","1","","","","",""
"rg;ufKt","","","","2019.11.25","","","","","","","","","","","",""
"Sabaragamuwa","","Dehiovita","Cutting Failure","","1","4","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","4","17","0","0","0","0","3","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","4","17","0","0","0","0","3","0","0","0","0","0"
"","නුවර","Gangawata Korale","","2019.11.23","2","9","","","","","2","","","","",""
"ධය  පලොත","9
fz;b","","High Wind","","","","","","","","","","","","",""
"","Kandy","Pathadumbara","","2019.11.26","1","2","","","","","1","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","",""
"Central","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","3","11","0","0","0","0","3","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","3","11","0","0","0","0","3","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","671","2629","5","1","0","1","51","3","0","1","61","203"
"","","","","","","","රොජකොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
