"","Weather Forecast for Main Cities","","","Date :","6-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","21","95","60","Mainly fair"
"Batticaloa","29","25","90","70","A few showers"
"Colombo","31","24","80","50","Mainly fair"
"Galle","29","24","90","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","29","24","85","70","Mainly fair"
"Kandy","28","20","90","70","Mainly fair"
"Nuwara-Eliya","22","12","95","80","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","32","24","95","60","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","29","23","80","60","A few showers"
"Mannar","29","25","85","65","Mainly fair"
