"","","2023.12.31","306","866","","","","","","","","2","268","776"
"Verugal","","","","","","","","","","","","","",""
"","Flood","2024.01.02","16","51","","","","","","","","","",""
"ත්‍රීකුණා ලය","","2023.12.30","139","297","","","","","","","","","",""
"Kinniya","","","","","","","","","","","","","",""
"5
jp.kiy","High Wind","2024.01.01","1","7","","","","","","","","","",""
"Trincomalee
Seruwila","High Wind","2024.01.02","1","4","","","","","1","","","","",""
"Muthur","Flood","2024.01.01","57","173","","","","","","","","","",""
"Padavisripura","High Wind","2024.01.01","1","2","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","521","1400","0","0","0","0","2","0","0","2","268","776"
"Karaitheevu","","2023.12.29","1203","3992","","","","","","","","","",""
"","","2023.12.28","37","152","","","","","","","","","",""
"Sammanthurai","","","","","","","","","","","","","",""
"","","2023.12.31","74","327","","4","","","74","","1","","",""
"","","2023.12.29","13","45","","","","","5","","","","",""
"Ampara","","","","","","","","","","","","","",""
"","","2024.01.02","4","14","","","","","4","","","","",""
"Pothuvil","","2023.12.30","2140","8100","","","","","1","","","","",""
"Lahugala","","2023.12.30","818","2324","","","","","5","","","","",""
"Sainthamaruthu","","2023.12.31","6","22","","","","","2","","","","",""
"","","2023.12.30","1","4","","","","","1","","","","",""
"Mahaoya","","2024.01.01","10","44","","","","","10","","","","",""
"අම්පාර","","","","","","","","","","","","","",""
"","Heavy Rain / Wind /","","","","","","","","","","","","",""
"mk;ghiw  
6","","2024.01.02","9","16","","","","","5","4","","","",""
"","Flood","","","","","","","","","","","","",""
"Ampara","","","","","","","","","","","","","",""
"Uhana","","2024.01.01","12","36","","","","","12","","","","",""
"නැමගනහිර පලාත","","","","","","","","","","","","","",""
"fpof;F    
Addalachani","","2024.01.02","1287","3992","","","","","1","","","","",""
"Eastern","","","","","","","","","","","","","",""
"Damana","","2024.01.01/02","6","19","","","","","6","","","","",""
"Irakkamam","","2024.01.02","3","8","","","","","1","","","","",""
"Thirukkovil","","2024.01.02","30","66","","","","","2","","","","",""
"Kalmunai North","","2024.01.02","205","530","","","","","","","","","",""
"Padiyathalawa","","2024.01.02","17","61","","","","","17","","","","",""
"Alaiyadiembu","","2024.01.03","1","3","","","","","","1","","","",""
"Ninthavur","","2024.01.03","80","239","","","","","","","","","",""
"Dehiaththakandiya","","2024.01.03","26","98","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","5982","20092","0","4","0","0","146","5","1","0","0","0"
"Porativupattu","Flood/ High Wind","2023.12.27 to 28","302","1203","","","","","14","","","","",""
"Katankudy","Flood","2024.01.01","1339","4554","","","","","","","","","",""
"Eravur Pattu","Flood/ High Wind","2023.12.28/30","862","3627","","","","","1","","","","",""
"Manmunai south West
 ඩකලපුව","Flood","2024.01.02","27","96","","","","","","","","","",""
"Manmunaipattu
7
kl;lf;fsg;G","Flood","2024.01.01","355","1038","","","","","","","","","",""
"Manmunai south
Batticaloa","Flood","2024.01.02","117","371","","","","","","","","","",""
"Manmunai West","Flood","2024.01.02","39","102","","","","","","","","","",""
"Manmunai North","Flood","2024.01.02","374","1003","","","","","","","","2","11","23 1. Saratha Vidyalaya 2."
"","","","","","","","","","","","","","","Methodis School"
"Koralai Pattu North","Flood","2023.12.31","47","139","","","","","","","","1","22","Vigneshwara collage
72"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","3462","12133","0","0","0","0","15","0","0","3","33","95"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","9965","33625","0","4","0","0","163","5","1","5","301","871"
"Haguranketha","Heavy Rain","2023.12.29/30/31","38","137","","","","","38","1","","","",""
"නුවරඑලිය","","","","","","","","","","","","","",""
"8
Walapane
Etnuypah","Heavy Rain","2023.12.27/29/30/31","19","60","","","","","3","","","1","16","45 Liyanwala Collage"
"Nuwara Eliya","","","","","","","","","","","","","",""
"Nuwaraeliya","High  wind","2023.12.27","4","16","","","","","4","","","1","4","16 Konkodiya Chearch"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","61","213","0","0","0","0","45","1","0","2","20","61"
