"khtl;lk ;","","","","FLk;gq;f","egHfs;","","","","","","","","","","FLk;gq;","egHfs;"
"","nra.gp    DS Division","","","","","","","","KOik","sT","Kaw;rpfs;","fl;likg;Gf;fs;","","if","",""
"District","","","","s;","People","","","g","","","","","","","fs;","Persons"
"","","","","","","","People","","","Partiall","Small, Medium,","Damages to","","Safety","",""
"","","","","","","","","People","Fully","","","","","","",""
"","","","","Families","","","","","","","Enterprises","","","","Families",""
"","","","","","","","","","","y","","critical","","Location","",""
"","","","","","","","","","","","Damages","Infastructure","","","",""
"","","","","","","","","","","","","","","s","",""
"","Maritimepattu","Lightning","2018.05.19","3","15","","","","","","","","","","",""
"මුලතිව්","","","","","","","","","","","","","","","",""
"","Thunukkai","දැඩි සුලග","2018.05.20","8","22","","","","","","","","","","",""
"1
Ky;iyj;jPT","","","","","","","","","","","","","","","",""
"","Puthukkudiyriuppu","fLk; fhw;W  High","2018.05.22","4","12","","","","","4","","","","","",""
"Mulaitivu","","","","","","","","","","","","","","","",""
"","Oddusuddan","Wind","2018.05.22","4","15","","","","1","3","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","19","64","0","0","0","1","7","0","","0","0","0","0"
"","Delft","","","1031","3071","","","","","","","","","","",""
