"","","","","","","","People","","","","","","","","Families",""
"","","","","","","","","","y","Enterprises","","critical","","Location","",""
"","","","","","","","","","","Damages","","Infrastructure","","s","",""
"","","2020.06.19","1","8","","","","","1","","","","","","",""
"","PasbageKorale","","","","","","","","","","","","","","",""
"","","2020.06.26","1","7","","","","","1","","","","","","",""
"","නුෙර","","","","","","","","","","","","","","",""
"","","2020.06.21","1","4","","","","","1","","","","","","",""
"මධයම පලාත","1
Udunuwara
High Wind
fz;b","","","","","","","","","","","","","","",""
"","","2020.06.25","1","5","","","","","1","","","","","","",""
"kj;jpa khfhzk;","Kandy","","","","","","","","","","","","","","",""
"","Panvila","2020.06.19","2","6","","","","","2","","","","","","",""
"Central","","","","","","","","","","","","","","","",""
"","Minipe","2020.06.22","2","5","","","","","2","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","8","35","0","0","0","0","8","","0","","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","8","35","0","0","0","0","8","","0","","0","0","0","0"
"","Katuwana
High Wind
හම්බනවතාට","2020.06.19","1","5","","","","","1","","","","","","",""
"","2
Beliatta
Tree Fallean
`k;ghe;Njhl;il","2020.06.21","1","4","","","","","1","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","","",""
"njd; khfhzk;","Hambantota
Tissamaharamaya
High Wind","2020.06.24","1","4","","","","","1","","","","","","",""
"Southern","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","3","13","0","0","0","0","3","","0","","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","3","13","0","0","0","0","3","","0","","0","0","0","0"
"","","2020.06.21","1","3","","","","","1","","","","","","",""
"","Mawanella
Tree Fallean","","","","","","","","","","","","","","",""
"","කෑගල්ල","2020.06.24/25","2","9","","","","","2","","","","","","",""
"","3
Nffhiy  
Deraniyagala
 Cutting Failure","2020.06.26","4","14","","","","","4","","","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","","",""
"rg;ufKt","Kegalle
Yatiyantota
High Wind","2020.06.11-22","10","44","","","","","10","","","","","","",""
"Sabaragamuwa","Ruwanwella
Lightning","2020.06.21","1","2","","","","","1","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","18","72","0","0","0","0","18","","0","","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","18","72","0","0","0","0","18","","0","","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","29","120","0","0","0","0","29","","0","","0","0","0","0"
