"","Weather Forecast for Main Cities","","","","25-Dec-2023"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","70","A few showers"
"Batticaloa","31","25","95","75","A few showers"
"Colombo","30","24","90","70","Mainly fair"
"Galle","30","24","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","90","75","Showers or thundershowers after 2.00p.m"
"Kandy","30","22","90","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","12","95","50","A few showers"
"Ratnapura","32","23","95","60","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","32","26","95","80","A few showers"
"Mannar","31","25","95","80","Mainly fair"
