"","","Heavy Rain/ Tree","","","","","","","","","","","","",""
"","","Fallen","","","","","","","","","","","","",""
"","","","2022.10.31","1","4","","","","","1","","","","",""
"","Udapalatha","","","","","","","","","","","","","",""
"","","","2022.11.06","1","2","","","","","1","","","","",""
"","Ududumbara","","2022.10.28","1","2","","","","","1","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","",""
"","Yatinuwara","Cutting Faliure","2022.11.06","3","12","","","","","3","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","",""
"Central","","Heavy Rain & Highwind","2022.10.31","1","4","","","","","1","","","","",""
"","Medadumbara","","","","","","","","","","","","","",""
"","","Cutting Faliure","2022.11.06","1","5","","","","","1","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","50","225","1","1","0","0","39","0","0","0","0","0"
"","","Cutting Faliure","2022.10.31-11.01","2","7","","","","","1","","","","",""
"","Walapane","","","","","","","","","","","","","",""
"","","Tree Fallen","2022.10.30","1","3","","","","","1","","","","",""
"නුවරඑලිය","","","","","","","","","","","","","","",""
"","Hanguranketha","Rock Fallen","2022.10.31","1","2","","","","","1","","","","",""
"5
Etnuypah","","","","","","","","","","","","","","",""
"Nuwara Eliya","","Cutting Faliure","2022.10.30-31","5","21","","","","","4","","","","",""
"","Nuwara Eliya","Flood","2022.10.30","4","23","","","","","","","","","",""
"","","Landslide","2022.10.30","1","3","","","","","1","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","14","59","0","0","0","0","8","0","0","0","0","0"
"","","Heavy Rain","2022.11.04/05","5","16","","","","1","","","","1","4","13 Muththuvinayagar Kovil"
"","Rattota","","","","","","","","","","","","","",""
"","","Collapses of wall","2022.11.05","","","1","","","","","","","","",""
"","Pallepola","","","16","48","","","","","","","","","",""
"","","","2022.11.04","","","","","","","","","","","",""
"","Ambangagakorale","","","1","4","","","","","1","","","","",""
"මාතගල්","","","","","","","","","","","","","","",""
"","","Heavy Rain/ Landslide","","","","","","","","","","","","",""
"khj;jis     
6","Yatawaththa","","2022.11.02-07","5","21","","","","","5","","","","",""
"","","Risk","","","","","","","","","","","","",""
"Matale","","","","","","","","","","","","","","",""
"","Mathale","","2022.11.08","1","4","","","","","","","","","",""
"","Ukuwela","","2022.11.07-08","4","15","","","","","4","","","","",""
"","Galewela","","2022.11.08","1","4","","","","","1","","","","",""
"","Wilgamuwa","","2022.11.07","3","6","","","","","3","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","36","118","1","0","0","1","14","0","0","1","4","13"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","100","402","2","1","0","1","61","0","0","1","4","13"
"","","","2022.10.30-11.01","12","37","","","","","","","","","",""
"","Sandilippay","","2022.11.01","1","5","","","","","1","","","","",""
"","","","2022.11.07","1","4","","","","","1","","","","",""
"යාපනය","","","","","","","","","","","","","","",""
"7","Uduvil","Flash Flood","2022.11.01","1","5","","","","","1","","","","",""
"","aho;g;ghzk; Jaffna","","","","","","","","","","","","","",""
"","Kopay","","2022.11.01 / 03","3","11","","","","","3","","","","",""
"","Jaffna","","2022.11.04","1","3","","","","1","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","",""
"tl khfhzk;","Chavakachcheri","","2022.11.08","2","5","","","","","2","","","","",""
"Northen","","","","","","","","","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","21","70","0","0","0","1","8","0","0","0","0","0"
"","Maritimepattu","Lightning","2022.11.03","1","5","","","","","1","","","","",""
"","මුලතිව් Ky;iyj;jPT","","","","","","","","","","","","","",""
"8","","","2022.11.07","1","5","","","","","1","","","","",""
"Mulaitivu","Puthukudiyirippu","High Wind","","","","","","","","","","","","",""
"","","","2022.11.08","2","6","","","","","2","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","16","0","0","0","0","4","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","25","86","0","0","0","1","12","0","0","0","0","0"
"","Seruwila","Lightning","2022.11.02","2","5","1","1","","","","","","","",""
"","","High Wind","2022.11.02","1","6","","","","","1","","","","",""
"","Kinniya","","","","","","","","","","","","","",""
"","ත්‍රීකුණාමලය jp.kiy","Heavy Rain","2022.11.05","3","11","","","","","3","","","","",""
"9","","","","","","","","","","","","","","",""
"Trincomalee","Kanthale","Heavy Rain","2022.11.05","1","1","","","","","1","","","","",""
"නැගගනහිර පලාත","","","","","","","","","","","","","","",""
"fpof;F Eastern","","Heavy Rain","2022.11.03","1","1","","","","","1","","","","",""
"","Town & Gravets","","","","","","","","","","","","","",""
"","","Lightning","2022.11.03","1","3","","","","","1","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","9","27","1","1","0","0","7","0","0","0","0","0"
