"","Weather Forecast for Main Cities","","","","3-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","23","90","75","Mainly fair"
"Batticaloa","29","23","95","75","A few showers"
"Colombo","31","23","95","75","Showers or thundershowers are likely after 2.00p.m"
"Galle","29","23","95","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","30","24","90","65","Mainly fair"
"Kandy","29","21","95","75","Mainly fair"
"Nuwara-Eliya","19","12","95","85","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","30","22","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","29","25","85","65","Mainly fair"
"Mannar","29","24","85","65","Mainly fair"
