"","","","","Page 2","","","","","","","","","",""
"හම්බන්තාට","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","One person died due to Boat"
"6
Sooriyawewa
Drowning
`k;ghe;Njhl;il 
දකුනු පලාත","2020.01.01","1","4","1","","","","","","","","","",""
"","","","","","","","","","","","","","","capsized"
"Hambantota
njd; khfhzk","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
Southern","","1","4","1","0","0","0","0","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","1","4","1","0","0","0","0","0","0","0","0","0",""
"Heavy","","","","","","","","","","","","","",""
"රත්නපුර  
Balangoda
Rain/Cutting","2019.12.30","4","15","","","","","4","","","","","",""
"7
uj;jpdGhp   
Failure","","","","","","","","","","","","","",""
"Rathnapura","","","","","","","","","","","","","",""
"Kolonna
Land Slide","2019.12.31","3","14","","","","","3","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","7","29","0","0","0","0","7","0","0","0","0","0",""
"rg;ufKt","","","","","","","","","","","","","",""
"Sabaragamuwa","Heavy Rain &","","","","","","","","","","","","",""
"Yatiyanthota
කෑගල්ල  Nffhiy","2020.01.01","1","7","","","","1","","","","","","",""
"Wind 
8","","","","","","","","","","","","","",""
"Kegalle","","","","","","","","","","","","","",""
"Dihiovita
Tree Fallen","2020.01.02","1","5","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","12","0","0","0","1","0","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","9","41","0","0","0","1","7","0","0","0","0","0",""
"යාපනය","","","","","","","","","","","","","",""
"9
Pointpedro
Drowning
aho;g;ghzk;","2020.01.03","1","1","1","","","","","","","","","",""
"උතුරු පලාත     tl","","","","","","","","","","","","","",""
"Jaffna
khfhzk;","","","","","","","","","","","","","",""
"Northen
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","1","1","0","0","0","0","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","1","1","1","0","0","0","0","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","170","497","8","0","0","1","7","0","0","14","159","447",""
"","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
