"","Weather Forecast for Main Cities","","","","25-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","50","Mainly fair"
"Batticaloa","33","26","95","70","Mainly fair"
"Colombo","33","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","26","95","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","36","26","90","60","Mainly fair"
"Kandy","34","23","95","55","Mainly fair"
"Nuwara-Eliya","24","11","95","50","Mainly fair"
"Ratnapura","36","25","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","35","25","95","60","Mainly fair"
"Mannar","34","26","85","60","Mainly fair"
