"Dehiowita
Lightning","2023.12.11","2","5","","","","","2","","","","","",""
"කෑගල්ල","","","","","","","","","","","","","",""
"6
Nffhiy           
Ruwanwella
Lightning","2023.12.10","1","5","","","","","1","","","","","",""
"Kegalle","","","","","","","","","","","","","",""
"Kegalla
Lightning","2023.12.11","1","6","","","","","1","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","4","16","0","0","0","0","4","0","0","0","0","0",""
"Opanayaka
Lightning","2023.12.10","4","10","","","","","4","","","","","",""
"Balangoda
Cutting Failure","2023.12.11","2","8","","","","","1","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","",""
"rg;ufKt 
Kahawatta
Heavy Rain","2023.12.11","1","1","","","","","1","","","","","",""
"රත්නපුර","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","",""
"7
,uj;jpdGhp  
Weligepola
Tree Fallen","2023.12.10","1","6","","","","","1","","","","","",""
"Rathnapura","","","","","","","","","","","","","",""
"Kuruvita
Lightning","2023.12.11","7","27","","","","","7","1","","","","",""
"Cutting Failure","2023.12.11","1","4","","","","","1","","","","","",""
"Eheliyagoda","","","","","","","","","","","","","",""
"Lightning","2023.12.11","2","7","","","","","2","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","18","63","0","0","0","0","17","1","0","0","0","0",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","22","79","0","0","0","0","21","1","0","0","0","0",""
"ගාල්ල               
Cutting Failure","2023.12.11","1","4","","1","","","1","","","","","",""
"fhyp         
8
Imaduwa","","","","","","","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","Currently staying at"
"Galle","Cutting Failure Risk
2023.12.11","5","25","","","","","","","","","","",""
"","","","","","","","","","","","","","","relative's house."
"njd; khfhzk;","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
Southern","","6","29","0","1","0","0","1","0","0","0","0","0",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","6","29","0","1","0","0","1","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","666","2250","0","1","0","7","35","1","2","11","176","589",""
