"","Weather Forecast for Main Cities","","","","1-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","23","90","55","Mainly fair"
"Batticaloa","30","25","90","70","Mainly fair"
"Colombo","34","25","80","40","Showers or thundershowers are likely after 4.00p.m"
"Galle","32","25","90","60","Showers or thundershowers after 2.00p.m"
"Jaffna","31","24","90","65","Mainly fair"
"Kandy","31","21","90","60","Mainly fair"
"Nuwara-Eliya","20","12","90","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","22","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","26","80","65","Mainly fair"
"Mannar","32","26","85","60","Mainly fair"
