"Weligepola","","2","10","","","","","1","","","","","",""
"Balangoda","","3","12","","","","","3","","","","","",""
"Embilipitiya","","1","3","","","","","1","","","","","",""
"Imbulpe","","2","6","","","","","2","","","","","",""
"දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","431","1611","0","1","0","3","207","0","0","0","0","0",""
"ෑගල්ල","","","","","","","","","","","","","",""
"Dehiowita
Heavy Rain","2023.10.11","1","2","","","","","1","","","","","",""
"Nffhiy    
2","","","","","","","","","","","","","",""
"Rambukwella
Heavy Rain
Kegalle","2023.10.05","2","12","","","","","2","","","","","",""
"දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","3","14","0","0","0","0","3","0","0","0","0","0",""
"පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","","434","1625","0","1","0","3","210","0","0","0","0","0",""
"ක ොළඹ","","","","","","","","","","","","","",""
"3
Dehiwala
land Slide
nfhOk;G","2023.10.06","26","112","","","","1","","","","1","6","","21 Karagampitiya Vijaya"
"","","","","","","","","","","","","","","School"
"Colombo","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","26","112","0","0","0","1","0","0","0","1","6","21",""
"Gampaha
Flood","2023.10.10","2","7","","","","","2","","","","","",""
"ගම්පහ fk;g`h","","","","","","","","","","","","","",""
"4
Wattala
Flood","2023.09.30","86","344","","","","","2","","","1","11","","40 1. විජය කුමාරතංග"
"Gampaha","","","","","","","","","","","","","","ප්‍රජාශාලාව"
"Minuwangoda
Rain & Wind","2023.09.30","2","7","","","","","2","","","","","",""
"දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","90","358","0","0","0","0","6","0","0","1","11","40",""
"පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","","116","470","0","0","0","1","6","0","0","2","17","61",""
"Akuressa","","31","130","","","","11","29","","","","","",""
