"","","","2018
Drought","","","","","","",""
"","","Mahawa","","1166","3461","","","","",""
"","","Bamunukotuwa","","248","794","","","","",""
"","","Ahatuwewa","","1335","3319","","","","",""
"","","Polgahawela","","74","287","","5","69","7","1"
"","","","2018.08.14/15","","","","","","",""
"","කුරුණෑෙල","","","","","","","","",""
"","","Alauwa","","16","53","","","16","",""
"","6
FUdhfy;","","","","","","","","",""
"","Kurunegala","Weerabugedara","","98","365","2","4","94","","5"
"","","","2018.08.15","","","","","","",""
"","","Maaspotha","","8","41","","","8","",""
"වයඹ","","","","","","","","","",""
"පලාත/tlNk","","Narammala","2018.08.14/15","27","100","","","27","",""
"","","","High Wind","","","","","","",""
"y;","","","","","","","","","",""
"","","Kurunegala","","10","37","","1","9","",""
"khfhzk;/","","","","","","","","","",""
"","","Paduwasnuwara East","","34","124","","","34","6",""
"North","","","","","","","","","",""
"Western/","","Kuliyapitiya East","2018.08.15","8","35","","","8","1","1"
