"B
ay of Bengal",""
"W
eather:",""
"17N-20N, 85E-95E",": Showers or thundershowers at most places."
"05N-15N, 90E-100E",": Showers or thundershowers at several places."
"Other sea areas",": Showers or thundershowers at a few places."
"W
inds:",""
"05N - 12N, 80E-85E",": South-westerly / (40-50) kmph; gusting up to 60 kmph."
"12N - 20N, 80E-95E",": South-westerly / (30-40) kmph; gusting up to (50-55) kmph."
"05N - 12N, 85E-100E",": South-westerly / (30-45) kmph"
"Other sea areas",": South-westerly or Variable / (25-35) kmph."
"S
tate of the Sea:",""
"05N - 12N, 80E-85E",":  Fairly rough, rough at times."
"12N - 20N, 80E-95E",":  Moderate, fairly rough to rough at times."
"05N - 12N, 85E-100E",":  Moderate to fairly rough."
"Other sea areas",":  Slight to moderate."
