"","gpuNjr nra.gp     DS","","","","","","","","","","","FLk;gq;f",""
"மாவட்டம் District","","","","","People","People","KOik","","சேதங்கள்; Small,","","","",""
"","","Families","People","","","","","Partially","","Damages to","f   No.","s;","Persons"
"","Division","","","","","","Fully","","","","","",""
"","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","Damages","","","",""
"අම්පාර","Uhana","12","53","","","","","12","","","","",""
"mk;ghiw     
1","High Wind & Rain","2025.01.12","","","","","","","","","","",""
"නැවෙනහිර පලාත","","","","","","","","","","","","",""
"Ampara","Thirukkovil","3","12","","","","","3","","","","",""
"fpof;F","","","","","","","","","","","","",""
"Eastern","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","15","65","0","0","0","0","15","0","0","0","0","0"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","15","65","0","0","0","0","15","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","15","65","0","0","0","0","15","0","0","0","0","0"
