"","Weather Forecast for Main Cities","","","Date :","2024-10-06"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","26","85","70","Several spells of showers"
"Galle","30","28","85","75","Several spells of showers"
"Jaffna","32","25","85","70","Several spells of showers"
"Kandy","30","21","90","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","13","85","60","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","90","60","Several spells of showers"
"Trincomalee","34","24","90","55","Showers or thundershowers after 2.00p.m"
"Mannar","31","23","95","75","Several spells of showers"
