"","Weather Forecast for Main Cities","","","Date :","22-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","26","90","75","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","25","90","65","Several spells of showers"
"Galle","31","28","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","27","90","60","Showers or thundershowers are likely after 2.00p.m"
"Kandy","32","22","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","13","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","35","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","35","25","95","60","Showers or thundershowers after 2.00p.m"
"Mannar","34","27","95","70","Showers or thundershowers are likely after 2.00p.m"
