"","","","Muthur","210","778","","","","","","","","","",""
"","","","Verungal","36","87","","","","","","","","","",""
"","","ත්‍රීකුණාමලය","","","","","","","","","","","","",""
"","5","jp.kiy","Heavy Rain & Flood
Thampalagamuwa","2024.01.09
11","43","","","","","","","","","",""
"","","Trincomalee","","","","","","","","","","","","",""
"","","","Kuchchaveli","3","12","","","","","","","","","",""
"","","","Seruwila","13","37","","","","","","","","1","13","37 T/Somadevi Vidyalaya"
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","273","957","0","0","0","0","0","0","0","1","13","37"
"","","","Manmunai West","18","47","","","","","","","","","",""
"නැවගනහිර පලාත","","","Koralaipattu North","393","1207","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","",""
"","","","Manmunai North","33","102","","","","","","","","","",""
"Eastern","","","","","","","","","","","","","","",""
"","","මඩකලපුව","","","","","","","","","","","","",""
"","","","Eravur Pattu","115","362","","","","","1","","","1","27","38 Eravur Pattu Kovil"
"","","","","","","","","","","","","","","","building"
"","6","kl;lf;fsg;G","Flood","2024.01.09","","","","","","","","","","",""
"","","Batticaloa","Porathevu Pattu","290","1153","","","","","","","","","",""
"","","","Anmunai West","1","4","","","1","","","","","","",""
"","","","Kattankudy","1505","4875","","","","","","","","1","7","13 BT/ Bathuriya School"
"","","","Manmunai South","7","33","","","","","","","","","",""
"","","","","2362","7783","0","0","1","0","1","0","0","2","34","51"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","2635","8740","0","0","1","0","1","0","0","3","47","88"
"","","යාපනය","","","","","","","","","","","","",""
"","7","","Chankanai
High Wind","2024.01.08
1","6","","","","","1","","","","",""
"","","aho;g;ghzk; Jaffna","","","","","","","","","","","","",""
"උතුරු පලාත","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1","6","0","0","0","0","1","0","0","0","0","0"
"tl khfhzk;","","මුලතිව්","","","","","","","","","","","","",""
"","","","Maritimepattu","2024.01.08-09
26","99","","","","","6","3","","","",""
"","","","Heavy Rain & High","","","","","","","","","","","",""
"Northen","8","Ky;iyj;jPT","","","","","","","","","","","","",""
"","","","Wind","","","","","","","","","","","",""
"","","Mulaitivu","Puthukudiyiruppu","2024.01.09
7","27","","","","","","","","1","7","27 Moonkilaru Primary"
"","","","","","","","","","","","","","","","School"
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","33","126","0","0","0","0","6","3","0","1","7","27"
