"","Weather Forecast for Main Cities","","","","26-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","31","21","90","55","Mainly fair"
"Batticaloa","29","23","90","65","Mainly fair"
"Colombo","33","23","80","40","Mainly fair"
"Galle","30","24","85","70","Mainly fair"
"Jaffna","30","24","90","55","Mainly fair"
"Kandy","31","16","90","50","Mainly fair"
"Nuwara-Eliya","23","5","70","20","Mainly fair"
"Ratnapura","33","21","90","50","Mainly fair"
"Trincomalee","30","23","90","60","Mainly fair"
"Mannar","30","23","90","55","Mainly fair"
