"","Weather Forecast for Main Cities","","","","16-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","90","40","Mainly fair"
"Batticaloa","32","25","90","70","Mainly fair"
"Colombo","33","26","85","60","Showers or thundershowers are likely after 4.00p.m"
"Galle","31","26","90","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","34","24","90","45","Mainly fair"
"Kandy","33","21","90","45","Showers or thundershowers are likely after 4.00p.m"
"Nuwara-Eliya","23","11","90","40","Showers or thundershowers are likely after 4.00p.m"
"Ratnapura","36","24","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","34","25","95","55","Mainly fair"
"Mannar","34","25","95","45","Mainly fair"
