"බස්නාහිර පලාත","","","","","","","","","","","",""
"Moratuwa","2","10","","","","","2","","","","",""
"නකාළඹ nfhOk;G","","","","","","","","","","","",""
"4
High Wind
Kolonnawa","2021.07.10
30","120","","","","","30","","","","",""
"Colombo","","","","","","","","","","","",""
"Seethawaka","4","15","","","","","4","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","36","145","0","0","0","0","36","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","169","658","0","0","0","0","159","0","0","0","0","0"
"Kiriella
High Wind","219","561","","","","","17","","","","",""
"Kalawana
Flood","29","93","","","","","29","","","","",""
"Elapatha
Flood","303","1129","","","","","18","","","","",""
"Ayagama
Heavy Rain","20","81","","","","","8","","","","",""
"Kahawaththa
High Wind","4","18","","","","","4","","","","",""
"Rathnpura
Flood","1900","7792","","","","1","23","","","7","59","265"
"රත්නපුර 
Pelmadulla
Flood","25","89","","","","","25","","","","",""
"5
,uj;jpdGhp","2021.07.10","","","","","","","","","","",""
"Nivithigala","19","71","","","","","7","","","","",""
"Rathnapura","","","","","","","","","","","",""
"Kuruvita","162","608","","","","","35","","","","",""
"Eheliyagoda","19","69","","","","","19","","","","",""
"Godakawala
High Wind","7","29","","","","","7","","","","",""
"Kolonna","5","16","","1","","1","4","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","",""
"Imbulpe
rg;ufKt","7","27","","","","","7","","","","",""
"Sabaragamuw","","","","","","","","","","","",""
"Kalthota","2","5","","","","","2","","","","",""
"a","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","2721","10588","0","1","0","2","205","0","0","7","59","265"
"Rabukkana","2","8","","","","","2","","","","",""
"Ruwanwella","6","24","","","","","1","","","","",""
"Aranayaka","8","39","","","","","1","","","","",""
"කෑගල්ල Nffhiy","","","","","","","","","","","",""
"6
Dehiovita","48","202","","","","","1","","","","",""
"Kegalle","","","","","","","","","","","",""
"Deraniyagala","10","40","","","","","9","","","","",""
"Mawanella","4","18","","","","","4","","","","",""
"Yatiyanthota","14","58","","","","","27","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","92","389","0","0","0","0","45","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","2813","10977","0","1","0","2","250","0","0","7","59","265"
"කිලිනනාච්චිය","","","","","","","","","","","",""
"7
Poonakary
High Wind
fpspnehr;rp","2021.07.10
1","6","","","","","1","","","","",""
"උතුරු පලාත","","","","","","","","","","","",""
"Killinochchi","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","",""
