"மாவட்டம் District","","","","","","","","KOik","","","","","",""
"","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s; 
Persons",""
"Division","","","","","","","","Fully","","","","","",""
"","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","Damages","","","",""
"","","","","","","","","","","","","","","42 people from 09 families"
"Haputale","Landslide Risk","2022.11.27","9","42","","","","","9","","","","","have been sent to relative"
"","","","","","","","","","","","","","","homes."
"Haldumulla
බදුල්ල","Cutting Faliure","2022.11.26","2","12","","","","","2","","","","",""
"1","","","","","","","","","","","","","",""
"ඌෙ","","","","","","","","","","","","","",""
"gJs;is   Badulla","","","","","","","","","","","","","",""
"Uva Paranagama","Heavy Rain","2022.11.27","1","4","","","","","1","","","","",""
"Cth khfhzk","","","","","","","","","","","","","",""
"Welimada
     Uva","High Wind","2022.11.28","1","2","","","","","1","","","","",""
"Mahiyanganaya","High Wind & Rain","2022.11.26","1","4","","","","","1","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","14","64","0","0","0","0","14","0","0","0","0","0"
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","14","64","0","0","0","0","14","0","0","0","0","0"
"Balangoda","High Wind & Rain","2022.11.16","5","21","","","","","1","","","","",""
"Kahawattha","Fire","2022.11.17","1","5","","","","","1","","","","",""
"Embilipitiya","High Wind","2022.11.20","1","5","","","","","1","","","","",""
"රත්නපුර","","","","","","","","","","","","","",""
"Kolonna","High Wind & Rain","2022.11.26","1","5","","","","","1","","","","",""
"2
,uj;jpdGhp","","","","","","","","","","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","",""
"","High Wind","2022.11.27","3","12","","","","","3","","","","",""
"Rathnapura","","","","","","","","","","","","","",""
"Eheliyagoda
rg;ufKt","","","","","","","","","","","","","",""
"","Lightning","2022.11.27","1","5","","","","","1","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","",""
"Rathnapura","Heavy Rain","2022.11.27","2","6","","","","","2","","","","",""
"Opanayaka","Heavy Rain","2022.11.27","1","3","","","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","15","62","0","0","0","0","10","0","0","0","0","0"
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","15","62","0","0","0","0","10","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","29","126","0","0","0","0","24","0","0","0","0","0"
