"උතුරුමැද","","ගපොගලොන්නරුව","Thamankaduwa","","","14","53","","","","","","","","","",""
"පලාත","5","nghyd;dWit","","Minor Flood","2018.11.06","","","","","","","","","","","",""
"tlkj;jpa","","Polonnaruwa","Welikanda","","","28","93","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"North","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","42","146","0","0","0","0","0","0","0","0","0","0"
"Central","","","","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","42","146","0","0","0","0","0","0","0","0","0","0"
"","","","Seruvila","","","66","239","","","","1","1","","","","",""
"","","ත්‍රීකුණාමලය","Muthur","","","29","84","","","","","1","","","","",""
"නැගෙනහිර","6","jp.kiy","Kinniya","Flash Flood","2018.11.06/07","874","3267","","","","","23","","","","",""
"පලාත","","Trincomalee","","","","","","","","","","","","","","",""
"","","","Verugal","","","4","8","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","",""
"Eastern/","","","Town and Gravets","","","49","192","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","1022","3790","0","0","0","1","26","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","1022","3790","0","0","0","1","26","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","3532","12425","2","4","0","3","56","7","0","5","541","1887"
"","","","","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
