"","Weather Forecast for Main Cities","","","Date :","23-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","95","55","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","25","95","75","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","25","95","70","Several spells of showers"
"Galle","31","26","95","75","Several spells of showers"
"Jaffna","35","26","95","70","Showers or thundershowers after 2.00p.m"
"Kandy","32","23","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","14","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","23","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","36","24","95","65","Showers or thundershowers after 2.00p.m"
"Mannar","34","26","90","70","Showers or thundershowers are likely after 2.00p.m"
