"","Weather Forecast for Main Cities","","","Date :","2024-10-02"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","95","50","Showers or thundershowers after 2.00p.m"
"Batticaloa","33","26","90","70","Showers or thundershowers after 2.00p.m"
"Colombo","31","24","95","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","26","95","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Kandy","30","21","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","12","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","25","95","70","Showers or thundershowers after 2.00p.m"
"Mannar","31","26","90","70","Showers or thundershowers are likely after 2.00p.m"
