"","","Homagama","","2025.05.25","","","","","","","","","",""
"","","","Lightning","","1","4","","","","","1","","",""
"","","Kesbewa","","2025.05.25","8","29","","","","","7","","",""
"Western","","","","","","","","","","","","","",""
"","","Colombo","","2025.05.26","7","24","","","","","7","","",""
"Nky; khfhzk","","","","","","","","","","","","","",""
"බස්ත්‍රනාහිර පලාත","","Kaduwela","","2025.05.26","2","9","","","","1","2","","",""
"","්කාළඹ","Padukka","High Wind","2025.05.25","2","7","","","","","2","","",""
"","nfhOk;G  
6","","","","","","","","","","","","",""
"","Colombo","Setawaka","","2025.05.25","5","18","","","","","5","","",""
"","","Kolonnawa","","2025.05.26","6","26","","","","","5","","",""
"","","","","2025.05.26","5","15","","","","","6","","",""
"","","Moratuwa","","","","","","","","","","","",""
"","","","Tree fallen","2025.05.25","1","3","","","","","","","",""
"","","Thibirigasyaya","Tree fallen","2025.05.26","3","11","","","","","4","","",""
"","","Rathmalana","Wall callapse","2025.05.26","3","10","","2","","2","1","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","61","231","0","2","0","3","59","0
0","0
0
0",""
