"","Weather Forecast for Main Cities","","","Date :","18-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","85","60","Mainly fair"
"Batticaloa","35","26","80","50","Mainly fair"
"Colombo","31","26","85","70","Showers at times"
"Galle","29","24","90","80","Showers at times"
"Jaffna","32","27","90","75","Mainly fair"
"Kandy","27","22","90","75","Several spells of showers"
"Nuwara-Eliya","17","14","95","80","Showers at times"
"Ratnapura","31","23","95","70","Showers at times"
"Trincomalee","32","26","80","55","Mainly fair"
"Mannar","31","26","85","75","Mainly fair"
