"","","","","Page 2","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Pasbagekorale","High Wind","2019.12.20","1","3","","","","1","","","","","",""
"","Heavy Rain","2019.12.15","1","5","","","","","1","","","","",""
"Medadumbara","","","","","","","","","","","","","",""
"","Drowning","2019.12.19","1","5","1","","","","","","","","",""
"","","2019.12.11","1","3","","","","","1","","","","",""
"","Heavy Rain","","","","","","","","","","","","",""
"Kundasale","","2019.12.10","1","5","","","","","1","","","","",""
"","Landslid warning","2019.12.20","2","5","","","","","","","","1","2","5 Deliwalathenna"
"","","","","","","","","","","","","","","Community Hall"
"","","2019.12.15","3","10","","","","","3","","","","",""
"Minipe","","","","","","","","","","","","","",""
"","High wind","2019.12.20","8","32","","","","","3","","","","",""
"හනුවර","","","","","","","","","","","","","",""
"ධ්‍ය","","","","","","","","","","","","","",""
"6
fz;b","","","","","","","","","","","","","",""
"","High Wind","2019.12.14","2","8","","","","","2","","","","",""
"පලොත/kj;jpa","","","","","","","","","","","","","",""
"Udunuwra
Kandy","","","","","","","","","","","","","",""
"khfhzk;/ Centra","","","","","","","","","","","","","",""
"","Landslide","2019.12.17","1","4","","","","","1","","","","",""
"","","2019.12.17","2","4","","","","","2","","","","",""
"Pathadumbara","","","","","","","","","","","","","",""
"","","2019.12.18","","","","","","","","1","","","",""
"Doluwa","Heavy Rain","2019.12.02","1","3","","","","","1","","","","",""
"Harispattuwa","","2019.12.17","1","5","","","","","1","","","","",""
"Thumpane","","2019.12.07","1","4","","","","","1","","","","",""
"Hatharaliyadda","Cutting Failure","2019.12.19","1","1","","","","1","","","","","",""
"Udapalatha","Heavy Rain","2019.12.17","1","4","","","","","1","","","","",""
"Akurana","","2019.12.20","2","7","","","","","2","","","","",""
"","Cutting Failure","","","","","","","","","","","","",""
"Panvila","","2019.12.19","5","17","","","","","4","","","","",""
"Ududumbara","Landslide Risk","2019.12.20","11","38","","","","","","","","1","11","38 Kalgamuwa temple"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","46","163","1","0","0","2","24","1","0","2","13","43"
"","","2019.12.04-05","2","11","","","","","1","","","1","2","11 Lipakele Childcare Center"
"","Landslide","","","","","","","","","","","","",""
"Nuwara Eliya","","2019.12.19","1","5","","","","1","","","","1","1","5 Headrest Cultural Central"
"","","","","","","","","","4","","","","",""
"","Flood","2019.12.20","2","11","","","","","","","","1","2","11 Park School"
