"","Weather Forecast for Main Cities","","","","18-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","55","Mainly fair"
"Batticaloa","30","25","95","80","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","90","70","Several spells of showers"
"Galle","30","26","90","80","Several spells of showers"
"Jaffna","32","24","95","70","Showers or thundershowers at times"
"Kandy","30","21","95","70","Several spells of light showers"
"Nuwara-Eliya","20","14","90","40","Several spells of light showers"
"Ratnapura","34","24","95","75","Several spells of showers"
"Trincomalee","33","25","90","55","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","27","85","70","Several spells of light showers"
