"","","","","","","","","","","","","","","",""
"","ගොල්ල","","","","","Page 2","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","9
Akmeemana
fhyp","High Wind","2020.07.20","610","2200","","1","","","30","3","","","",""
"","Galle","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","610","2200","0","1","0","0","30","3","0","0","0","0"
"","","Tree Fallen / Cutting","2020.07.25","4","11","","","","","4","","","","",""
"","","faliure","2020.07.23","1","3","","","","","1","","","","",""
"","Beliatta","","","","","","","","","","","","","",""
"දකුනු පලොත","","High wind","2020.07.29","1","5","","","","","1","","","","",""
"njd; khfhzk","හම්බන්කතොට","High wind","2020.07.28","1","2","","","","","1","","","","",""
"Southern","10
`k;ghe;Njhl;il","","2020.07.29","1","4","","","","","1","","","","",""
"","Agunukolapelassa","High wind","","","","","","","","","","","","",""
"","Hambantota","","2020.07.31","1","4","","","","","1","","","","",""
"","Weeraketiya","Heavy Rain","2020.07.27","1","4","","","","","2","","","","",""
"","Ambalantota","High wind","2020.07.30","2","5","","","","","2","","","","",""
"","Tangalle","High wind","2020.07.30","1","3","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","13","41","0","0","0","0","14","0","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","623","2241","0","1","0","0","44","3","0","0","0","0"
"","කපොකලොන්නරුව","","","","","","","","","","","","","",""
"උතුරුමැද පලොත","11
Welikanda
nghyd;dWit","Lightning","2020.07.22","","","","2","","","","","","","",""
"tlkj;jpa","","","","","","","","","","","","","","",""
"","Polonnaruwa","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","0","0","2","0","0","0","0","0","0","0","0"
"North Central","","","","","","","","","","","","","","",""
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","0","0","0","2","0","0","0","0","0","0","0","0"
"","මඩකලපුව","","","","","","","","","","","","","",""
"","12
Koralaipattu North
kl;lf;fsg;G","Hig Wind","2020.07.30","1","2","","","","","1","","","","",""
"නැකගනහිර පලොත","","","","","","","","","","","","","","",""
"","Batticaloa","","","","","","","","","","","","","",""
"fpof;F      Eastern","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","2","0","0","0","0","1","0","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","2","0","0","0","0","1","0","0","0","0","0"
"","Kegalle","Tree Fallen","2020.07.30","1","3","","","","1","","","","","",""
"","Galigamuwa
කෑගල්ල","","2020.07.29","1","5","","","","1","","","","","",""
"","","High Wind","","","","","","","","","","","","",""
"","13
Nffhiy    
Yatiyantota","","2020.07.29","2","11","","","","2","","","","","",""
"ස්ත්‍බරගමුව පලොත","","","","","","","","","","","","","","",""
"rg;ufKt","Kegalle","","","","","","","","","","","","","",""
"","","Cutting Failure","2020.07.29","1","4","","","","1","","","","","",""
"","Mawanelle","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","","Tree Fallen","2020.07.30","1","3","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","6","26","0","0","0","6","0","0","0","0","0","0"
